59,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CPº NOVO DOS PARECIS/MT,570.00,13°47'S,57°50'W,-13.785907,-57.838485,1367,,525.00,A905
38,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CORUMBÁ/MS,126.00,18°59'S,57°38'W,-18.996670,-57.637500,1511,,112.00,A724
64,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE APIACAS/MT,220.00,09°33'S,57°23'W,-9.563392,-57.393578,1354,,218.00,A910
57,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE S.J.DO RIO CLARO/MT,350.00,13°27'S,56°39'W,-13.453981,-56.677323,1466,,340.00,A903
32,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE NHUMIRIM/MS,104.00,18°58'S,56°39'W,-18.988681,-56.622868,1511,,102.00,A717
50,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BELA VISTA/MS,208.00,22°06'S,56°32'W,-22.101536,-56.540763,1499,,206.00,A757
36,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE MIRANDA/MS,140.00,20°23'S,56°25'W,-20.395530,-56.431736,1536,,132.00,A722
55,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CUIABÁ/MT,151.34,15°37'S,56°06'W,-15.559295,-56.062951,1383,,242.00,A901
33,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE AQUIDAUANA/MS,155.00,20°28'S,55°47'W,-20.475420,-55.784006,1494,,151.00,A719
58,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SORRISO/MT,380.00,12°33'S,55°43'W,-12.555107,-55.722863,1473,,379.00,A904
45,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE AMAMBAI/MS,431.00,23°00'S,55°19'W,-23.002530,-55.329357,1488,,434.00,A750
40,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE MARACAJU/MS,401.00,21°36'S,55°10'W,-21.609036,-55.177531,1535,,389.00,A731
65,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CAMPO VERDE/MT,749.00,15°31'S,55°08'W,-15.531431,-55.135649,1368,,748.00,A912
46,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SETE QUEDAS/MS,402.00,23°58'S,55°01'W,-23.966893,-55.024227,1556,,398.00,A751
35,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE DOURADOS/MS,469.00,22°11'S,54°54'W,-22.193920,-54.911355,1517,,463.00,A721
60,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE GUARANTÃ DO NORTE/MT,320.00,09°57'S,54°53'W,-9.952594,-54.897834,1393,,284.00,A906
54,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SONORA/MS,495.00,17°38'S,54°45'W,-17.635277,-54.760470,1558,,495.00,A761
34,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE COXIM/MS,252.00,18°30'S,54°44'W,-18.512146,-54.736116,1513,,251.00,A720
44,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE JUTI/MS,379.00,22°51'S,54°36'W,-22.857210,-54.605634,1532,,375.00,A749
61,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE RONDONÓPOLIS/MT,284.00,16°27'S,54°34'W,-16.462419,-54.580151,1454,,290.00,A907
41,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE S. GABRIEL DO OESTE/MS,647.00,19°25'S,54°33'W,-19.420320,-54.553088,1554,,646.00,A732
47,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ITAQUIRAI/MS,336.00,23°26'S,54°10'W,-23.449501,-54.181858,1526,,338.00,A752
30,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE IVINHEMA/MS,373.29,22°18'S,53°49'W,-22.300421,-53.822895,1527,,377.00,A709
63,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ALTO ARAGUAIA/MT,753.00,17°33'S,53°22'W,-17.339359,-53.224449,1349,,753.00,A909
49,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ÁGUA CLARA/MS,338.00,20°26'S,52°52'W,-20.444440,-52.875830,1486,,324.00,A756
39,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CHAPADÃO DO SUL/MS,818.00,18°48'S,52°36'W,-18.802187,-52.602620,1508,,821.00,A730
52,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BATAGUASSU/MS,387.00,21°45'S,52°28'W,-21.750123,-52.471294,1497,,392.00,A759
9,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ARAGARÇAS/GO,347.00,15°54'S,52°14'W,-15.902658,-52.245172,905,,327.00,A013
15,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CAIAPÔNIA/GO,737.00,16°58'S,51°49'W,-16.966841,-51.817567,929,,740.00,A023
42,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CASSILANDIA/MS,516.00,19°07'S,51°43'W,-19.122471,-51.720732,1507,,495.00,A742
12,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE JATAÍ/GO,582.00,17°55'S,51°43'W,-17.923622,-51.717467,1010,,670.00,A016
31,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PARANAIBA/MS,424.00,19°41'S,51°10'W,-19.695517,-51.181769,1543,,408.00,A710
20,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE IPORA/GO,625.00,16°25'S,51°08'W,-16.423059,-51.148801,995,,610.00,A028
17,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE RIO VERDE/GO,782.00,17°47'S,50°57'W,-17.785303,-50.964869,1080,,780.00,A025
19,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PARAUNA/GO,678.00,16°57'S,50°25'W,-16.962536,-50.425450,1061,,679.00,A027
10,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE GOIÁS/GO,512.00,15°56'S,50°08'W,-15.939729,-50.141433,979,,513.00,A014
11,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ITAPACI/GO,522.00,14°58'S,49°32'W,-14.979792,-49.539977,1001,,551.00,A015
4,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE GOIANIA/GO,770.00,16°38'S,49°13'W,-16.642841,-49.220222,977,,727.00,ZZZ2
5,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE MORRINHOS/GO,771.42,17°43'S,49°06'W,-17.745066,-49.101698,1032,,751.00,A003
14,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE GOIANESIA/GO,667.00,15°13'S,48°59'W,-15.220199,-48.990107,976,,667.00,A022
26,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SILVANIA/GO,949.00,16°40'S,48°37'W,-16.679786,-48.618171,1108,,952.00,A037
6,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE NIQUELANDIA/GO,583.00,14°27'S,48°27'W,-14.469358,-48.485756,1040,,664.00,A004
3,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PONTE ALTA (GAMA)/DF,990.00,15°93'S,48°13'W,-15.935139,-48.137377,882,,990.00,A046
8,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE LUZIANIA/GO,958.00,16°16'S,47°57'W,-16.260542,-47.966962,1017,,1001.00,A012
23,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CATALÃO/GO,890.00,18°09'S,47°55'W,-18.154779,-47.927614,941,,901.00,A034
1,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BRASILIA/DF,1159.54,15°47'S,47°55'W,-15.789343,-47.925756,882,,1161.00,A001
25,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CRISTALINA/GO,1202.00,16°47'S,47°36'W,-16.784896,-47.612966,953,,1211.00,A036
16,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ALTO PARAISO GOIAS/GO,1260.00,14°07'S,47°31'W,-14.133074,-47.523258,893,,1265.00,A024
21,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE MONTE ALEGRE GOIAS/GO,1253.00,13°14'S,46°53'W,-13.253521,-46.890326,1028,,551.00,A032
18,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE MINEIROS/GO,706.00,17°34'S,52°35'W,0.000000,0.000000,1026,,0.00,A026
66,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE COMODORO/MT,591.00,13°42'S,59°45'W,-13.708046,-59.762385,1379,,577.00,A913
88,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PONTES E LACERDA/MT,256.00,15°15'S,59°20'W,-15.234582,-59.346215,1441,,273.00,A937
73,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE JUÍNA/MT,200.00,11°22'S,58°43'W,-11.375126,-58.774785,1404,,365.00,A920
78,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE NOVO MUNDO/MT,431.00,12°31'S,58°13'W,-12.521901,-58.231401,1430,,426.00,A927
87,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SALTO DO CEU/MT,303.00,15°08'S,58°06'W,-15.124811,-58.127092,1456,,301.00,A936
89,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CACERES/MT,116.00,16°02'S,57°41'W,-16.074740,-57.693047,1365,,124.00,A941
86,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PORTO ESTRELA/MT,145.00,15°21'S,57°13'W,-15.324728,-57.225845,1445,,148.00,A935
79,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE NOVA MARINGA/MT,353.00,13°02'S,57°05'W,-13.038642,-57.092201,1422,,334.00,A928
76,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ALTA FLORESTA/MT,289.00,09°50'S,56°06'W,-10.077262,-56.179221,1348,,292.00,A924
70,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SINOP/MT,371.00,11°58'S,55°33'W,-11.982245,-55.565993,1472,,367.00,A917
80,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE NOVA UBIRATÃ/MT,518.00,13°24'S,54°45'W,-13.411105,-54.752144,1427,,466.00,A929
84,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ITIQUIRA/MT,585.00,17°10'S,54°30'W,-17.175051,-54.501690,1399,,593.00,A933
68,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PARANATINGA/MT,474.00,14°25'S,54°02'W,-14.421492,-54.036055,1434,,477.00,A915
83,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE GUIRATINGA/MT,526.00,16°20'S,53°45'W,-16.341587,-53.766089,1394,,525.00,A932
85,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ALTO TAQUARI/MT,875.00,17°48'S,53°17'W,-17.841011,-53.289474,1353,,862.00,A934
81,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE GAUCHA DO NORTE/MT,379.00,13°11'S,53°15'W,-13.184857,-53.257366,1390,,376.00,A930
71,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CONFRESA/MT,237.00,10°39'S,51°34'W,-10.639518,-51.571456,1380,,233.00,A918
74,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE S.FELIX DO ARAGUAIA/MT,218.00,11°37'S,50°43'W,-11.619023,-50.727856,1464,,201.00,A921
99,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE L. E. MAGALHAES/BA,754.04,12°09'S,45°49'W,-12.152394,-45.829745,515,,761.00,A404
97,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BARREIRAS/BA,470.37,12°09'S,45°01'W,-12.124715,-45.027049,318,,474.00,A402
109,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE STA RITA DE CASSIA/BA,450.00,11°01'S,44°31'W,-11.002768,-44.524965,624,,450.00,A415
122,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BURITIRAMA/BA,502.00,10°43'S,43°39'W,-10.722925,-43.651203,338,,506.00,A432
111,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BOM JESUS DA LAPA/BA,440.00,13°25'S,43°11'W,-13.251094,-43.405365,327,,448.00,A418
119,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BARRA/BA,403.00,11°05'S,43°08'W,-11.084858,-43.138998,313,,408.00,A429
116,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE GUANAMBI/BA,882.00,14°12'S,42°44'W,-14.208124,-42.749647,423,,552.00,A426
113,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE REMANSO/BA,401.00,09°36'S,42°06'W,-9.625693,-42.077214,601,,397.00,A423
114,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE IRECÊ/BA,755.00,11°19'S,41°51'W,-11.328998,-41.864504,454,,768.00,A424
123,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BRUMADO/BA,470.00,14°11'S,41°20'W,-14.181886,-41.672281,336,,473.00,A433
115,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE LENÇOIS/BA,439.00,12°33'S,41°23'W,-12.557854,-41.388808,512,,438.00,A425
108,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE VITORIA DA CONQUISTA/BA,870.00,14°53'S,40°28'W,-14.886428,-40.801330,693,,879.00,A414
130,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE JACOBINA/BA,453.00,11°12'S,40°27'W,-11.205136,-40.464979,488,,441.00,A440
103,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ITABERABA/BA,249.89,12°31'S,40°17'W,-12.524062,-40.299714,456,,250.00,A408
118,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SENHOR DO BONFIM/BA,548.00,10°26'S,40°08'W,-10.443072,-40.148244,650,,532.00,A428
102,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ITIRUÇÚ/BA,755.61,13°31'S,40°07'W,-13.527828,-40.119752,480,,757.00,A407
124,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE AMARGOSA/BA,407.00,13°00'S,39°37'W,-13.009468,-39.616881,290,,398.00,A434
125,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE UAUÁ/BA,453.00,09°50'S,39°29'W,-9.833617,-39.495631,675,,451.00,A435
100,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CARAVELAS/BA,2.88,17°44'S,39°16'W,-17.739413,-39.258617,366,,6.00,A405
117,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PORTO SEGURO/BA,85.00,16°23'S,39°10'W,-16.388977,-39.182389,591,,86.00,A427
127,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE UNA/BA,82.00,15°16'S,39°05'W,-15.280215,-39.091270,681,,74.00,A437
101,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CRUZ DAS ALMAS/BA,225.87,12°39'S,39°09'W,-12.675422,-39.089580,396,,220.00,A406
128,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE MARAU/BA,10.00,13°54'S,38°58'W,-13.906940,-38.972220,530,,6.00,A438
112,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ABROLHOS/BA,25.00,17°57'S,38°41'W,-17.963016,-38.703288,366,,21.00,A422
96,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SALVADOR/BA,51.41,13°01'S,38°31'W,-13.005515,-38.505760,616,,48.00,A401
105,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PAULO AFONSO/BA,252.69,09°22'S,38°13'W,-9.378106,-38.226771,574,,255.00,A411
121,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CONDE/BA,10.00,11°48'S,37°35'W,-12.035833,-37.683889,384,,32.00,A431
92,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PALMEIRA DOS INDIOS/AL,275.00,09°25'S,36°37'W,-9.420334,-36.620371,167,,278.00,A327
93,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ARAPIRACA/AL,241.00,09°48'S,36°37'W,-9.804551,-36.619198,103,,237.00,A353
94,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CORURIPE/AL,74.00,10°07'S,36°17'W,-10.128482,-36.286348,124,,82.00,A355
90,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE MACEIÓ/AL,64.50,09°33'S,35°46'W,-9.551168,-35.770195,147,,84.00,A303
98,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE AREMBEPE/BA,10.78,12°45'S,38°09'W,0.000000,0.000000,350,,0.00,ZZZ1
170,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ESTREITO/MA,180.00,06°39'S,47°25'W,-6.653272,-47.418241,1197,,183.00,A224
173,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BURITICUPÚ/MA,175.00,04°19'S,46°26'W,-4.320597,-46.449503,1169,,175.00,A238
162,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE GRAJAÚ/MA,230.00,05°48'S,46°09'W,-5.816085,-46.162200,1212,,232.00,A207
159,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BALSAS/MA,254.00,07°27'S,46°01'W,-7.455609,-46.027546,1152,,271.00,A204
165,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE TURIAÇU/MA,41.00,01°39'S,45°22'W,-1.661224,-45.372571,1336,,36.00,A219
167,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BARRA DO CORDA/MA,153.00,05°30'S,45°14'W,-5.506782,-45.237053,1154,,154.00,A221
141,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE FORMOSO DO RIO PRETO/BA,488.00,11°05'S,45°20'W,-11.052164,-45.200769,415,,488.00,A452
168,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE COLINAS/MA,179.00,06°02'S,44°14'W,-6.033167,-44.233402,1189,,175.00,A222
158,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SÃO LUIZ/MA,56.00,02°31'S,44°12'W,-2.526771,-44.213577,4410,,55.00,A203
163,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SANTANA/MA,8.00,02°16'S,43°37'W,-2.270811,-43.624043,1296,,10.00,A217
161,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CHAPADINHA/MA,91.00,03°44'S,43°21'W,-3.742674,-43.352084,1185,,104.00,A206
195,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE FLORIANO/PI,123.27,06°46'S,43°01'W,-6.761438,-43.003396,3449,,126.00,A311
196,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE TERESINA/PI,74.36,05°04'S,42°48'W,-5.034769,-42.801341,3581,,75.00,A312
164,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PREGUIÇAS/MA,0.10,02°35'S,42°42'W,-2.592341,-42.707553,1155,,5.00,A218
139,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PILÃO ARCADO/BA,400.00,10°00'S,42°47'W,-10.002261,-42.473641,579,,400.00,A449
194,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PARNAÍBA/PI,79.50,03°05'S,41°47'W,-3.086656,-41.783139,3517,,52.00,A308
133,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE DELFINO/BA,637.00,10°27'S,41°12'W,-10.454920,-41.206996,680,,646.00,A443
153,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CRATEUS/CE,291.00,05°11'S,40°40'W,-5.186636,-40.672128,747,,298.00,A342
154,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CAMPOS SALES/CE,572.00,07°04'S,40°21'W,-7.077730,-40.362678,730,,578.00,A347
145,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SOBRAL/CE,109.62,03°43'S,40°20'W,-3.748177,-40.345720,864,,92.00,A306
149,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE TAUÁ/CE,415.00,06°01'S,40°16'W,-6.017474,-40.281321,869,,411.00,A324
193,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE OURICURI/PE,464.00,07°53'S,40°06'W,-7.885833,-40.102683,3296,,458.00,A366
157,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ACARAÚ/CE,76.00,03°07'S,40°05'W,-3.121067,-40.087288,700,,67.00,A360
138,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CURACA/BA,370.00,09°00'S,39°91'W,-9.001300,-39.912400,397,,370.00,A448
135,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE IPIAU/BA,125.00,14°10'S,39°41'W,-14.171304,-39.692502,447,,132.00,A445
143,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ITAMARAJU/BA,110.00,17°43'S,39°55'W,-17.436667,-39.550861,466,,110.00,A455
187,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CABROBÓ/PE,341.46,08°29'S,39°18'W,-8.504000,-39.315280,3213,,343.00,A329
150,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE QUIXERAMOBIM/CE,79.50,05°10'S,39°17'W,-5.174568,-39.289393,848,,221.00,A325
